month,hour,season,day_type,weather,rides,registered,casual,records,average_temp,average_humidity
2011-01,20,Winter,Working day,Clear,965,923,42,14,0.1914,0.5186
2011-01,20,Winter,Working day,Light rain / snow,110,110,0,2,0.16,0.76
2011-01,20,Winter,Working day,Mist / cloudy,271,268,3,3,0.24,0.7233
2011-01,21,Winter,Weekend / holiday,Clear,216,190,26,7,0.1486,0.4729
2011-01,21,Winter,Weekend / holiday,Light rain / snow,27,24,3,1,0.16,0.8
2011-01,21,Winter,Weekend / holiday,Mist / cloudy,119,107,12,3,0.32,0.6533
2011-01,21,Winter,Working day,Clear,611,583,28,13,0.18,0.5723
2011-01,21,Winter,Working day,Light rain / snow,76,73,3,2,0.16,0.725
2011-01,21,Winter,Working day,Mist / cloudy,204,200,4,4,0.225,0.7075
2011-01,22,Winter,Weekend / holiday,Clear,148,126,22,6,0.1333,0.4883
2011-01,22,Winter,Weekend / holiday,Light rain / snow,13,13,0,1,0.14,0.93
2011-01,22,Winter,Weekend / holiday,Mist / cloudy,96,81,15,4,0.285,0.6375
2011-01,22,Winter,Working day,Clear,383,367,16,11,0.18,0.5855
2011-01,22,Winter,Working day,Light rain / snow,29,28,1,1,0.16,0.93
2011-01,22,Winter,Working day,Mist / cloudy,282,274,8,7,0.1886,0.6329
2011-01,23,Winter,Weekend / holiday,Clear,167,153,14,7,0.1429,0.5129
2011-01,23,Winter,Weekend / holiday,Light rain / snow,4,3,1,1,0.16,0.86
2011-01,23,Winter,Weekend / holiday,Mist / cloudy,78,58,20,3,0.3,0.6433
2011-01,23,Winter,Working day,Clear,189,181,8,10,0.176,0.569
2011-01,23,Winter,Working day,Light rain / snow,19,18,1,1,0.16,0.93
2011-01,23,Winter,Working day,Mist / cloudy,197,179,18,8,0.195,0.6437
2011-02,0,Winter,Weekend / holiday,Clear,216,186,30,7,0.2657,0.5557
2011-02,0,Winter,Weekend / holiday,Mist / cloudy,76,66,10,2,0.29,0.56
2011-02,0,Winter,Working day,Clear,169,142,27,11,0.2436,0.4973
2011-02,0,Winter,Working day,Light rain / snow,27,26,1,3,0.2267,0.9067
2011-02,0,Winter,Working day,Mist / cloudy,61,47,14,4,0.25,0.6525
2011-02,1,Winter,Weekend / holiday,Clear,203,172,31,7,0.2571,0.5771
2011-02,1,Winter,Weekend / holiday,Mist / cloudy,31,28,3,2,0.29,0.535
2011-02,1,Winter,Working day,Clear,70,66,4,11,0.24,0.5118
2011-02,1,Winter,Working day,Light rain / snow,18,17,1,3,0.2333,0.8667
2011-02,1,Winter,Working day,Mist / cloudy,24,23,1,4,0.23,0.7875
2011-02,2,Winter,Weekend / holiday,Clear,103,93,10,6,0.26,0.5683
2011-02,2,Winter,Weekend / holiday,Mist / cloudy,41,34,7,3,0.26,0.64
2011-02,2,Winter,Working day,Clear,28,24,4,9,0.2178,0.5356
2011-02,2,Winter,Working day,Light rain / snow,7,3,4,2,0.18,0.865
2011-02,2,Winter,Working day,Mist / cloudy,14,11,3,5,0.244,0.756
2011-02,3,Winter,Weekend / holiday,Clear,67,48,19,6,0.25,0.5667
2011-02,3,Winter,Weekend / holiday,Mist / cloudy,28,21,7,3,0.26,0.62
2011-02,3,Winter,Working day,Clear,22,16,6,8,0.2375,0.5675
2011-02,3,Winter,Working day,Light rain / snow,3,3,0,3,0.2733,0.93
2011-02,3,Winter,Working day,Mist / cloudy,6,5,1,4,0.205,0.68
2011-02,4,Winter,Weekend / holiday,Clear,13,12,1,6,0.26,0.5417
2011-02,4,Winter,Weekend / holiday,Light rain / snow,8,8,0,1,0.22,0.93
2011-02,4,Winter,Weekend / holiday,Mist / cloudy,4,3,1,2,0.21,0.645
2011-02,4,Winter,Working day,Clear,14,10,4,7,0.2829,0.6343
2011-02,4,Winter,Working day,Light rain / snow,1,1,0,1,0.22,0.93
2011-02,4,Winter,Working day,Mist / cloudy,1,1,0,1,0.14,0.59
2011-02,5,Winter,Weekend / holiday,Clear,5,5,0,3,0.26,0.4967
2011-02,5,Winter,Weekend / holiday,Light rain / snow,9,9,0,1,0.2,1.0
2011-02,5,Winter,Weekend / holiday,Mist / cloudy,13,11,2,2,0.28,0.5
2011-02,5,Winter,Working day,Clear,61,58,3,11,0.1945,0.5836
2011-02,5,Winter,Working day,Light rain / snow,6,6,0,2,0.18,0.93
2011-02,5,Winter,Working day,Mist / cloudy,31,28,3,5,0.276,0.732
2011-02,6,Winter,Weekend / holiday,Clear,21,13,8,6,0.24,0.6067
2011-02,6,Winter,Weekend / holiday,Light rain / snow,4,4,0,1,0.2,1.0
2011-02,6,Winter,Weekend / holiday,Mist / cloudy,13,9,4,2,0.31,0.475
2011-02,6,Winter,Working day,Clear,405,398,7,11,0.1927,0.5827
2011-02,6,Winter,Working day,Light rain / snow,51,50,1,3,0.2333,0.93
2011-02,6,Winter,Working day,Mist / cloudy,139,134,5,5,0.236,0.714
2011-02,7,Winter,Weekend / holiday,Clear,79,64,15,6,0.23,0.6
2011-02,7,Winter,Weekend / holiday,Light rain / snow,4,4,0,1,0.22,0.93
2011-02,7,Winter,Weekend / holiday,Mist / cloudy,22,19,3,2,0.32,0.405
2011-02,7,Winter,Working day,Clear,1170,1142,28,12,0.1767,0.5775
2011-02,7,Winter,Working day,Light rain / snow,136,134,2,3,0.24,0.9533
2011-02,7,Winter,Working day,Mist / cloudy,356,341,15,4,0.275,0.7625
2011-02,8,Winter,Weekend / holiday,Clear,157,133,24,5,0.244,0.612
2011-02,8,Winter,Weekend / holiday,Light rain / snow,10,10,0,1,0.2,1.0
2011-02,8,Winter,Weekend / holiday,Mist / cloudy,132,122,10,3,0.26,0.6033
2011-02,8,Winter,Working day,Clear,2495,2420,75,11,0.1909,0.5436
2011-02,8,Winter,Working day,Light rain / snow,363,356,7,3,0.2467,0.93
2011-02,8,Winter,Working day,Mist / cloudy,1101,1042,59,5,0.252,0.81
2011-02,9,Winter,Weekend / holiday,Clear,257,203,54,5,0.268,0.54
2011-02,9,Winter,Weekend / holiday,Light rain / snow,20,17,3,1,0.2,1.0
2011-02,9,Winter,Weekend / holiday,Mist / cloudy,178,146,32,3,0.2733,0.5767
2011-02,9,Winter,Working day,Clear,1595,1514,81,12,0.2333,0.535
2011-02,9,Winter,Working day,Light rain / snow,114,111,3,1,0.34,0.93
2011-02,9,Winter,Working day,Mist / cloudy,778,745,33,6,0.2267,0.82
2011-02,10,Winter,Weekend / holiday,Clear,487,382,105,5,0.308,0.47
2011-02,10,Winter,Weekend / holiday,Light rain / snow,34,31,3,1,0.2,1.0
2011-02,10,Winter,Weekend / holiday,Mist / cloudy,270,193,77,3,0.2933,0.49
2011-02,10,Winter,Working day,Clear,652,576,76,12,0.2267,0.48
2011-02,10,Winter,Working day,Light rain / snow,49,42,7,1,0.42,0.94
2011-02,10,Winter,Working day,Mist / cloudy,403,358,45,6,0.3,0.7633
2011-02,11,Winter,Weekend / holiday,Clear,717,527,190,6,0.34,0.3983
2011-02,11,Winter,Weekend / holiday,Light rain / snow,47,46,1,1,0.22,1.0
2011-02,11,Winter,Weekend / holiday,Mist / cloudy,251,159,92,2,0.31,0.45
2011-02,11,Winter,Working day,Clear,801,673,128,13,0.2892,0.4831
2011-02,11,Winter,Working day,Mist / cloudy,400,352,48,6,0.3133,0.645
2011-02,12,Winter,Weekend / holiday,Clear,940,646,294,6,0.3567,0.37
2011-02,12,Winter,Weekend / holiday,Light rain / snow,52,42,10,1,0.22,1.0
2011-02,12,Winter,Weekend / holiday,Mist / cloudy,253,182,71,2,0.32,0.555
2011-02,12,Winter,Working day,Clear,965,811,154,11,0.3164,0.3918
2011-02,12,Winter,Working day,Light rain / snow,115,95,20,1,0.54,0.6
2011-02,12,Winter,Working day,Mist / cloudy,463,429,34,7,0.3,0.6371
2011-02,13,Winter,Weekend / holiday,Clear,1083,724,359,6,0.37,0.3433
2011-02,13,Winter,Weekend / holiday,Light rain / snow,175,137,38,2,0.26,0.905
2011-02,13,Winter,Weekend / holiday,Mist / cloudy,174,136,38,1,0.34,0.42
2011-02,13,Winter,Working day,Clear,1103,946,157,12,0.3433,0.3892
2011-02,13,Winter,Working day,Light rain / snow,115,108,7,2,0.5,0.77
2011-02,13,Winter,Working day,Mist / cloudy,336,296,40,5,0.288,0.558
2011-02,14,Winter,Weekend / holiday,Clear,971,579,392,5,0.388,0.332
2011-02,14,Winter,Weekend / holiday,Light rain / snow,55,50,5,1,0.22,1.0
2011-02,14,Winter,Weekend / holiday,Mist / cloudy,488,365,123,3,0.3533,0.4733
2011-02,14,Winter,Working day,Clear,1023,823,200,13,0.3631,0.3508
2011-02,14,Winter,Working day,Light rain / snow,110,95,15,2,0.49,0.78
2011-02,14,Winter,Working day,Mist / cloudy,274,244,30,4,0.315,0.58
2011-02,15,Winter,Weekend / holiday,Clear,956,609,347,5,0.388,0.324
2011-02,15,Winter,Weekend / holiday,Light rain / snow,60,49,11,1,0.22,1.0
2011-02,15,Winter,Weekend / holiday,Mist / cloudy,414,323,91,3,0.3533,0.4667
2011-02,15,Winter,Working day,Clear,1077,885,192,13,0.3846,0.3385
2011-02,15,Winter,Working day,Light rain / snow,98,93,5,2,0.41,0.77
2011-02,15,Winter,Working day,Mist / cloudy,256,233,23,4,0.275,0.5275
2011-02,16,Winter,Weekend / holiday,Clear,1008,687,321,6,0.3867,0.355
2011-02,16,Winter,Weekend / holiday,Light rain / snow,127,111,16,2,0.25,0.875
2011-02,16,Winter,Weekend / holiday,Mist / cloudy,134,106,28,1,0.42,0.28
2011-02,16,Winter,Working day,Clear,1321,1122,199,12,0.3467,0.3633
2011-02,16,Winter,Working day,Light rain / snow,113,107,6,2,0.4,0.81
2011-02,16,Winter,Working day,Mist / cloudy,502,439,63,5,0.332,0.492
2011-02,17,Winter,Weekend / holiday,Clear,1026,733,293,7,0.3743,0.3629
2011-02,17,Winter,Weekend / holiday,Mist / cloudy,158,126,32,2,0.26,0.875
2011-02,17,Winter,Working day,Clear,2555,2381,174,12,0.3367,0.3475
2011-02,17,Winter,Working day,Light rain / snow,256,245,11,2,0.38,0.83
2011-02,17,Winter,Working day,Mist / cloudy,1037,987,50,5,0.32,0.534
2011-02,18,Winter,Weekend / holiday,Clear,589,484,105,6,0.3467,0.4183
2011-02,18,Winter,Weekend / holiday,Mist / cloudy,250,216,34,3,0.2867,0.72
2011-02,18,Winter,Working day,Clear,2211,2099,112,12,0.315,0.3558
2011-02,18,Winter,Working day,Light rain / snow,131,127,4,1,0.46,0.94
2011-02,18,Winter,Working day,Mist / cloudy,1027,998,29,6,0.3133,0.6383
2011-02,19,Winter,Weekend / holiday,Clear,378,313,65,6,0.3367,0.4433
2011-02,19,Winter,Weekend / holiday,Mist / cloudy,175,166,9,3,0.2867,0.72
2011-02,19,Winter,Working day,Clear,1591,1497,94,13,0.3031,0.4031
2011-02,19,Winter,Working day,Light rain / snow,283,278,5,3,0.3067,0.89
2011-02,19,Winter,Working day,Mist / cloudy,339,330,9,3,0.2667,0.72
2011-02,20,Winter,Weekend / holiday,Clear,378,326,52,7,0.3229,0.5171
2011-02,20,Winter,Weekend / holiday,Light rain / snow,29,29,0,1,0.24,0.81
2011-02,20,Winter,Weekend / holiday,Mist / cloudy,42,30,12,1,0.34,0.42
2011-02,20,Winter,Working day,Clear,1228,1162,66,13,0.2908,0.4531
2011-02,20,Winter,Working day,Light rain / snow,129,129,0,2,0.29,0.87
2011-02,20,Winter,Working day,Mist / cloudy,322,307,15,4,0.28,0.7875
2011-02,21,Winter,Weekend / holiday,Clear,355,311,44,7,0.3086,0.5557
2011-02,21,Winter,Weekend / holiday,Light rain / snow,34,33,1,1,0.22,0.75
2011-02,21,Winter,Weekend / holiday,Mist / cloudy,56,39,17,1,0.32,0.53
2011-02,21,Winter,Working day,Clear,1001,940,61,14,0.2843,0.4786
2011-02,21,Winter,Working day,Mist / cloudy,353,342,11,5,0.264,0.834
2011-02,22,Winter,Weekend / holiday,Clear,278,250,28,6,0.29,0.5583
2011-02,22,Winter,Weekend / holiday,Light rain / snow,11,11,0,1,0.2,0.75
2011-02,22,Winter,Weekend / holiday,Mist / cloudy,116,110,6,2,0.35,0.595
2011-02,22,Winter,Working day,Clear,771,706,65,14,0.2671,0.4736
2011-02,22,Winter,Working day,Light rain / snow,177,164,13,3,0.28,0.8667
2011-02,22,Winter,Working day,Mist / cloudy,82,79,3,2,0.23,0.76
2011-02,23,Winter,Weekend / holiday,Clear,214,190,24,6,0.28,0.5867
2011-02,23,Winter,Weekend / holiday,Light rain / snow,2,2,0,1,0.2,0.75
2011-02,23,Winter,Weekend / holiday,Mist / cloudy,113,98,15,2,0.33,0.615
2011-02,23,Winter,Working day,Clear,442,397,45,12,0.2617,0.4542
2011-02,23,Winter,Working day,Light rain / snow,53,52,1,2,0.18,0.865
2011-02,23,Winter,Working day,Mist / cloudy,171,161,10,5,0.28,0.738
2011-03,0,Spring,Weekend / holiday,Mist / cloudy,59,51,8,2,0.26,0.395
2011-03,0,Spring,Working day,Clear,57,50,7,4,0.295,0.5775
2011-03,0,Spring,Working day,Light rain / snow,27,22,5,3,0.3133,0.7667
2011-03,0,Spring,Working day,Mist / cloudy,22,19,3,2,0.32,0.75
2011-03,0,Winter,Weekend / holiday,Clear,112,98,14,3,0.3267,0.57
2011-03,0,Winter,Weekend / holiday,Mist / cloudy,147,106,41,3,0.4333,0.7033
2011-03,0,Winter,Working day,Clear,124,97,27,9,0.2956,0.5822
2011-03,0,Winter,Working day,Light rain / snow,15,12,3,3,0.28,0.6433
2011-03,0,Winter,Working day,Mist / cloudy,18,18,0,2,0.27,0.775
2011-03,1,Spring,Weekend / holiday,Clear,27,24,3,1,0.26,0.38
2011-03,1,Spring,Weekend / holiday,Mist / cloudy,20,17,3,1,0.24,0.52
2011-03,1,Spring,Working day,Clear,44,35,9,5,0.28,0.568
2011-03,1,Spring,Working day,Light rain / snow,12,11,1,2,0.29,0.845
2011-03,1,Spring,Working day,Mist / cloudy,10,9,1,2,0.32,0.855
2011-03,1,Winter,Weekend / holiday,Clear,75,60,15,3,0.3067,0.6133
2011-03,1,Winter,Weekend / holiday,Mist / cloudy,115,82,33,3,0.4333,0.68
2011-03,1,Winter,Working day,Clear,55,46,9,9,0.2822,0.5922
2011-03,1,Winter,Working day,Light rain / snow,15,14,1,4,0.295,0.75
2011-03,1,Winter,Working day,Mist / cloudy,4,4,0,1,0.18,0.64
2011-03,2,Spring,Weekend / holiday,Clear,25,21,4,1,0.22,0.44
2011-03,2,Spring,Weekend / holiday,Light rain / snow,21,15,6,1,0.22,0.55
2011-03,2,Spring,Working day,Clear,14,14,0,4,0.275,0.5975
2011-03,2,Spring,Working day,Light rain / snow,7,6,1,2,0.29,0.845
2011-03,2,Spring,Working day,Mist / cloudy,16,15,1,3,0.32,0.76
2011-03,2,Winter,Weekend / holiday,Clear,44,38,6,2,0.27,0.585
2011-03,2,Winter,Weekend / holiday,Mist / cloudy,77,62,15,3,0.42,0.7067
2011-03,2,Winter,Working day,Clear,38,26,12,9,0.2733,0.5833
2011-03,2,Winter,Working day,Light rain / snow,6,4,2,2,0.34,0.5
2011-03,2,Winter,Working day,Mist / cloudy,2,2,0,1,0.18,0.64
2011-03,3,Spring,Weekend / holiday,Clear,9,7,2,1,0.2,0.47
2011-03,3,Spring,Weekend / holiday,Light rain / snow,14,14,0,1,0.2,0.69
2011-03,3,Spring,Working day,Clear,12,7,5,4,0.275,0.5675
2011-03,3,Spring,Working day,Light rain / snow,1,1,0,1,0.24,0.93
2011-03,3,Spring,Working day,Mist / cloudy,9,8,1,4,0.32,0.74
2011-03,3,Winter,Weekend / holiday,Clear,42,34,8,3,0.2867,0.6567
2011-03,3,Winter,Weekend / holiday,Mist / cloudy,21,18,3,3,0.42,0.6933
2011-03,3,Winter,Working day,Clear,28,17,11,9,0.2533,0.6322
2011-03,3,Winter,Working day,Mist / cloudy,6,5,1,3,0.26,0.89
2011-03,4,Spring,Weekend / holiday,Clear,6,4,2,1,0.22,0.44
2011-03,4,Spring,Weekend / holiday,Light rain / snow,6,5,1,1,0.18,0.74
2011-03,4,Spring,Working day,Clear,7,3,4,2,0.19,0.59
2011-03,4,Spring,Working day,Light rain / snow,2,2,0,1,0.24,0.93
2011-03,4,Spring,Working day,Mist / cloudy,3,2,1,3,0.34,0.7967
2011-03,4,Winter,Weekend / holiday,Clear,20,13,7,4,0.34,0.5525
2011-03,4,Winter,Weekend / holiday,Mist / cloudy,4,4,0,2,0.36,0.905
2011-03,4,Winter,Working day,Clear,13,10,3,8,0.2275,0.675
2011-03,4,Winter,Working day,Mist / cloudy,2,1,1,2,0.24,0.835
2011-03,5,Spring,Weekend / holiday,Clear,8,8,0,1,0.2,0.51
2011-03,5,Spring,Working day,Clear,27,26,1,4,0.225,0.5875
2011-03,5,Spring,Working day,Light rain / snow,18,18,0,2,0.28,0.9
2011-03,5,Spring,Working day,Mist / cloudy,28,26,2,3,0.3267,0.7867
2011-03,5,Winter,Weekend / holiday,Clear,16,13,3,4,0.34,0.5625
2011-03,5,Winter,Weekend / holiday,Mist / cloudy,3,3,0,1,0.3,1.0
2011-03,5,Winter,Working day,Clear,75,68,7,10,0.244,0.678
2011-03,5,Winter,Working day,Light rain / snow,3,2,1,1,0.36,0.0
2011-03,5,Winter,Working day,Mist / cloudy,18,17,1,3,0.2333,0.8267
2011-03,6,Spring,Weekend / holiday,Clear,10,8,2,1,0.18,0.55
2011-03,6,Spring,Weekend / holiday,Light rain / snow,2,2,0,1,0.16,0.86
2011-03,6,Spring,Working day,Clear,182,176,6,4,0.245,0.59
2011-03,6,Spring,Working day,Light rain / snow,68,64,4,2,0.28,0.845
2011-03,6,Spring,Working day,Mist / cloudy,133,128,5,3,0.3067,0.7633
2011-03,6,Winter,Weekend / holiday,Clear,20,17,3,4,0.315,0.6125
2011-03,6,Winter,Weekend / holiday,Mist / cloudy,6,4,2,2,0.36,0.97
2011-03,6,Winter,Working day,Clear,382,364,18,10,0.242,0.649
2011-03,6,Winter,Working day,Light rain / snow,12,12,0,1,0.36,0.0
2011-03,6,Winter,Working day,Mist / cloudy,109,102,7,3,0.2333,0.84
2011-03,7,Spring,Weekend / holiday,Clear,41,23,18,1,0.2,0.51
2011-03,7,Spring,Weekend / holiday,Light rain / snow,7,7,0,1,0.16,0.86
2011-03,7,Spring,Working day,Clear,347,332,15,3,0.2067,0.44
2011-03,7,Spring,Working day,Light rain / snow,218,208,10,3,0.2667,0.9333
2011-03,7,Spring,Working day,Mist / cloudy,390,371,19,3,0.3467,0.7133
